idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
939239,8,8,Good,10.0,Less than once a month,167.0,61.0,Female,1963.0
949591,9,9,Very good,,Once a week,180.0,94.0,Male,1971.0
933835,7,9,Good,30.0,Once a week,176.0,85.0,Male,1973.0
946917,8,9,Good,,2-3 times a month,185.0,97.0,Male,1983.0
926848,8,9,Very good,15.0,Once a month,178.0,,Male,1996.0
931419,7,Extremely happy,Good,4.0,Every day,175.0,72.0,Male,1951.0
923353,7,Extremely happy,Very good,,Several times a week,178.0,100.9,Male,1963.0
924618,7,9,Good,,Once a week,180.0,81.0,,1977.0
950061,7,Extremely happy,Very good,1.0,Once a week,183.0,70.0,Male,1995.0
942280,Most people can be trusted,9,Very good,,Never,189.0,85.0,Male,1950.0
921880,7,9,Good,,Once a week,180.0,80.0,Female,1963.0
938160,7,8,Good,20.0,Every day,178.0,125.0,Male,1960.0
927307,7,8,Good,7.0,Once a week,161.0,63.0,Female,1995.0
923727,7,9,Good,3.0,2-3 times a month,160.0,54.0,Female,1940.0
945026,6,8,Good,,Less than once a month,167.0,61.0,Female,1955.0
921204,9,8,Good,,Once a week,157.0,48.0,,1941.0
941917,7,9,Good,,2-3 times a month,,73.0,Female,1961.0
940686,6,8,Fair,,2-3 times a month,,65.0,Female,1987.0
922462,Most people can be trusted,Extremely happy,Very good,,Once a week,160.0,60.0,Female,1968.0
930382,4,6,Fair,,Never,175.0,90.0,Female,1983.0
932677,Most people can be trusted,9,Very good,,,185.0,80.0,Male,1953.0
933657,8,6,Fair,,Several times a week,173.0,108.0,Female,1969.0
931011,6,6,Good,,Never,184.0,78.0,Male,1978.0
922925,9,8,Very good,,Once a week,186.0,66.0,Male,1986.0
936396,8,8,,,Once a week,168.0,78.0,Female,1963.0
948529,8,9,Very good,,2-3 times a month,181.0,78.0,Female,1972.0
928670,7,Extremely happy,Very good,,,183.0,81.0,Male,1964.0
921076,8,8,Good,,Several times a week,,70.0,Female,1958.0
939946,6,7,Fair,,Once a week,190.0,78.0,Male,1996.0
924278,Most people can be trusted,Extremely happy,Good,20.0,Several times a week,167.0,,Female,1934.0
926775,8,8,Good,20.0,Several times a week,189.0,75.0,Male,1989.0
948286,7,9,Very good,,2-3 times a month,157.0,55.0,Female,1993.0
938615,8,3,Fair,,Less than once a month,160.0,63.0,Female,1991.0
925826,7,9,Very good,,2-3 times a month,171.0,64.0,Female,1989.0
938657,,9,Good,,Less than once a month,162.0,65.0,Female,1983.0
947303,7,9,Good,,Less than once a month,173.0,59.0,Female,1999.0
947523,Most people can be trusted,Extremely happy,Good,,Once a week,170.0,72.0,Male,1927.0
934158,6,8,Fair,,2-3 times a month,187.0,86.0,Male,
928824,7,Extremely happy,Very good,,2-3 times a month,163.0,56.0,Female,1981.0
940076,7,9,Very good,,2-3 times a month,170.0,60.0,Female,1998.0
926343,2,Extremely happy,Very good,,Several times a week,189.0,80.0,Male,1987.0
939302,8,9,Fair,,Every day,160.0,51.0,Female,1914.0
924854,7,7,Good,,Never,173.0,87.0,Male,1966.0
