idno,ppltrst,happy,health,cgtsday,alcfreq
927111,4,4,Very bad,,Less than once a month
927860,Most people can be trusted,9,Very good,,Several times a week
928379,8,8,Very good,,Once a month
944606,6,Extremely happy,Very bad,,Every day
934695,7,9,Fair,,Once a week
929919,6,Extremely happy,Good,,Several times a week
924171,3,7,Very good,10,Once a week
929951,8,9,Very good,,Once a week
922543,,Extremely happy,Fair,,Never
941739,9,9,,,Several times a week
947329,,7,Fair,,Once a week
929032,7,8,,,Once a week
922268,9,Extremely happy,Very good,8,Several times a week
942638,7,5,Good,,Once a week
944371,3,6,Fair,,2-3 times a month
925143,4,8,Fair,,2-3 times a month
941585,4,9,Good,,Less than once a month
940571,8,9,Good,,Never
929545,8,7,Good,,
946959,9,9,Very good,,Less than once a month
934700,5,Extremely happy,Good,,Several times a week
931435,8,9,Very good,,
927137,Most people can be trusted,Extremely happy,Very good,18,2-3 times a month
944020,7,Extremely happy,Very good,,2-3 times a month
928701,9,8,Very good,,Once a week
944729,6,Extremely happy,Good,,Once a month
933097,8,8,Good,,Once a week
943715,5,8,Good,,Once a month
923612,9,7,Very good,2,Once a month
945767,Most people can be trusted,9,Very good,6,Every day
936566,9,9,Good,,Once a week
922284,7,8,Good,6,Every day
928832,6,6,Good,,2-3 times a month
922103,9,8,Good,20,Every day
940369,8,8,Good,,Several times a week
924579,5,9,Bad,,Several times a week
929993,8,Extremely happy,Very good,,Once a month
922616,Most people can be trusted,9,Good,,
939433,,Extremely happy,Very good,,Several times a week
933974,4,8,Good,,Less than once a month
922292,8,Extremely happy,Very good,,Once a week
943529,9,8,Very good,,2-3 times a month
923824,9,8,Very good,,Once a week
931663,8,8,Very good,,Less than once a month
927771,8,Extremely happy,Good,,Once a month
928298,5,Extremely happy,Fair,,Less than once a month
947793,5,7,Fair,,Once a month
936964,8,9,,0,Several times a week
949494,7,7,Good,,Never
922771,8,8,Good,,Never
943058,9,8,Very good,,Several times a week
944355,7,8,Good,,Never
922535,8,9,Very good,,2-3 times a month
930219,8,Extremely happy,Good,,Once a week
941797,7,5,Bad,,
944648,9,8,Fair,,Once a month
929040,4,,Very good,15,Once a week
949444,9,8,Very good,,Once a month
940199,8,8,Good,,Once a week
931299,7,6,Good,15,Once a month
948375,,9,Very good,,Once a week
935007,9,8,Good,15,2-3 times a month
932570,8,Extremely happy,Good,,Several times a week
945466,Most people can be trusted,9,Very good,,Several times a week
946064,5,Extremely happy,Very good,,Every day
921131,8,8,Fair,,Several times a week
921424,7,9,Very good,,Several times a week
948896,9,8,,,Several times a week
930510,8,8,Good,,Every day
923125,5,8,Very good,0,2-3 times a month
927959,8,9,Good,,Every day
932130,2,9,Good,,Several times a week
923418,7,7,Good,,Less than once a month
939459,8,6,Good,,2-3 times a month
928094,4,8,Good,,Never
926929,5,2,Good,15,Every day
949648,6,9,,,Several times a week
