,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
347,927331,5,Extremely happy,Very good,,Never,181.0,,Female,1981
348,927349,5,8,Very good,10.0,Once a week,188.0,79.0,Male,1974
350,927381,7,8,Fair,,Every day,173.0,82.0,Male,1995
353,927488,4,9,Fair,15.0,Less than once a month,168.0,74.0,Male,1981
354,927585,7,9,Good,,Once a month,175.0,84.0,Female,1986
358,927624,8,8,Good,,Once a week,160.0,69.0,Female,1961
359,927632,5,9,Good,,Never,158.0,64.0,Female,1976
360,927640,8,8,Very good,,Once a week,180.0,87.0,Female,1988
362,927763,5,7,Good,,Less than once a month,185.0,97.0,Male,1938
368,927933,6,8,Fair,,Once a week,159.0,51.0,Female,1990
370,927967,8,8,Very good,0.0,Several times a week,175.0,82.0,Male,1967
371,927983,3,8,Fair,20.0,Once a month,164.0,54.0,Female,1989
372,928002,8,8,Fair,,Several times a week,146.0,48.0,Female,1935
373,928028,8,6,Very good,10.0,Several times a week,181.0,75.0,Male,1986
378,928109,8,7,Good,,Once a week,168.0,67.0,Female,1964
379,928125,3,8,Good,,2-3 times a month,183.0,87.0,Male,1968
387,928303,5,9,Very good,,Several times a week,178.0,73.0,Male,1969
390,928361,9,8,Good,,Once a week,166.0,59.0,Female,1955
392,928400,8,8,Good,,Once a week,167.0,61.0,Female,1969
393,928418,7,6,Fair,,Several times a week,187.0,80.0,Male,1997
394,928434,8,6,Fair,,2-3 times a month,164.0,64.0,Female,1960
396,928492,5,6,Good,20.0,Once a week,162.0,80.0,Female,1968
397,928515,7,8,Very good,,Several times a week,178.0,89.0,Male,1939
399,928573,8,8,Very good,,Never,168.0,68.0,Female,1936
408,928777,8,8,Good,20.0,2-3 times a month,189.0,71.0,Male,1972
409,928785,8,9,Fair,20.0,Once a week,183.0,125.0,Male,1967
411,928816,7,9,Good,,2-3 times a month,196.0,105.0,Male,1973
414,928840,3,5,Very good,,Less than once a month,187.0,98.0,Male,1998
416,928874,7,7,Very good,,Less than once a month,187.0,64.0,Male,1999
417,928905,6,8,Bad,20.0,Once a week,173.0,68.0,Male,1952
418,928913,8,Extremely happy,Good,,Every day,163.0,71.0,Female,1936
421,928971,8,Extremely happy,Good,,Once a week,168.0,54.0,Female,1946
422,928997,5,8,Very good,25.0,Several times a week,175.0,67.0,Female,1988
426,929090,8,9,Fair,,Once a month,184.0,89.0,Male,1965
429,929139,7,9,Fair,,Once a month,186.0,107.0,Male,1955
431,929163,5,7,Fair,10.0,Once a week,167.0,56.0,Female,1941
432,929171,You can't be too careful,Extremely happy,Fair,,2-3 times a month,173.0,88.0,Male,1937
435,929202,Most people can be trusted,Extremely happy,Good,,Once a week,167.0,52.0,Female,1994
436,929210,7,Extremely happy,Fair,,Several times a week,180.0,110.0,Male,1949
437,929228,9,9,Good,,Several times a week,182.0,102.0,Male,1938
440,929325,8,Extremely happy,Good,,Less than once a month,162.0,76.0,Female,1970
441,929359,3,8,Fair,,Several times a week,182.0,88.0,Male,1945
445,929414,7,8,Very good,20.0,Several times a week,171.0,60.0,Female,1997
446,929448,Most people can be trusted,1,Good,,Less than once a month,172.0,,Male,1926
447,929456,8,8,Fair,,Less than once a month,170.0,70.0,Female,1998
448,929464,7,7,Good,,2-3 times a month,165.0,86.0,Female,1982
451,929529,9,8,Good,15.0,Several times a week,164.0,77.0,Female,1969
455,929587,8,7,Bad,,Once a week,163.0,78.0,Female,1958
458,929642,8,8,Good,,2-3 times a month,184.0,71.0,Female,1998
462,929692,5,7,Very good,15.0,2-3 times a month,193.0,83.0,Male,1986
465,929757,4,8,Good,20.0,Less than once a month,168.0,80.0,Male,1969
468,929854,7,8,Very good,10.0,Once a week,176.0,71.0,Male,1992
469,929862,9,9,Good,,Several times a week,175.0,82.0,Male,1952
470,929870,9,Extremely happy,Very good,,Less than once a month,163.0,69.0,Female,1947
473,929977,4,8,Very good,15.0,2-3 times a month,175.0,75.0,Male,1985
474,929985,7,8,Good,0.0,Several times a week,172.0,76.0,Female,1969
476,930023,5,5,Fair,,Every day,185.0,67.0,Male,1946
487,930293,You can't be too careful,4,Bad,10.0,Every day,160.0,42.0,Female,1945
488,930316,4,1,Bad,10.0,Every day,174.0,75.0,Male,1947
489,930324,5,7,Very good,,Every day,168.0,85.0,Male,1941
490,930332,8,9,Good,,Once a week,178.0,89.0,Male,1985
491,930374,9,9,Very good,,Several times a week,158.0,61.0,Female,1964
495,930497,7,8,Good,,2-3 times a month,175.0,76.0,Female,1987
502,930659,8,7,Good,4.0,Less than once a month,176.0,80.0,Female,1969
503,930667,5,Extremely happy,Good,,Once a week,170.0,70.0,Male,1932
504,930714,8,9,Good,,Less than once a month,169.0,66.0,Female,1977
505,930730,Most people can be trusted,9,Good,,Several times a week,160.0,84.0,Female,1974
506,930772,6,7,Very bad,3.0,2-3 times a month,168.0,40.0,Female,1957
507,930780,7,9,Very good,,Once a week,204.0,112.0,Male,1983
508,930811,8,Extremely happy,Very good,,Several times a week,175.0,95.0,Male,1937
509,930829,7,9,Bad,,Once a week,185.0,116.0,Male,1958
511,930853,5,8,Fair,,2-3 times a month,168.0,69.0,Female,1947
