idno,height,weight,gndr,yrbrn
931029,190,84,Male,1959
933160,184,86,Male,1960
935112,178,81,Male,1958
932766,188,70,Male,1987
935235,164,67,Female,1981
943684,172,68,Male,1929
922959,185,84,Male,1998
935968,185,90,,1955
948341,177,68,,1963
932245,174,76,Male,1956
926149,198,105,Male,1956
921254,185,70,Male,1977
921814,196,90,Male,1972
929082,187,120,Male,1963
936281,,,Male,1992
934865,168,56,Female,1986
949711,165,88,Male,1927
949915,176,86,Male,1944
940903,192,105,Male,1979
925795,178,85,Female,1964
941674,178,74,Male,1937
945953,185,64,Male,1999
932732,174,88,Female,1968
949680,174,81,Male,1936
948901,180,83,Male,1970
942044,186,71,Male,1997
945369,168,75,Female,1991
926351,170,60,Female,1973
947997,168,56,Female,1997
947989,193,90.300003,Male,1959
928646,161,70,,1959
943765,185,76,,1986
940652,163,68,Female,1954
922006,167,106,Female,1964
940856,167,69,Female,1961
941519,170,115,Female,1957
941802,156,59,Female,1942
935667,184,80,Male,1966
926945,176,56,Female,1971
929561,187,82,Male,1997
936574,162,64,Female,1965
933712,187,86,Male,1965
923777,160,55,Female,1975
945814,163,57,Female,1985
938720,165,,Female,1965
928248,168,69,Female,1983
944876,175,74,Female,1950
934344,180,80,Male,1960
928280,148,65,Female,1953
929406,168,75,Male,1945
949509,192,76,Male,1989
936702,165,53,Female,1958
935895,,90,Female,1969
923191,170,60,Female,1953
940288,168,62,,1954
933908,184,108,Male,1961
948189,176,88,Male,1990
942484,168,68,Male,1968
926513,159,72,Female,1948
947971,165,80,Male,1932
930633,160,60,Female,1979
939637,169,70,Female,1996
933013,191,97,Male,1972
927284,155,60,Female,1922
940505,156,58,Female,1932
949305,160,80,Female,1939
934467,179,72,Female,1973
932902,173,63,Male,1931
922315,183,88,Male,1942
942719,179,68,Female,1981
940694,183,95,Male,1977
933186,162,58,Female,1968
947476,184,87,Female,1939
942793,183,83,Male,1983
923743,183,,Male,1988
925185,167,54,Female,1974
924139,174,79,Male,1951
929668,178,,Female,
942620,176,58,Female,1967
940945,179,90,Male,1969
932546,186,66,Male,1955
927399,180,83,Male,1981
949274,168,72,Female,1974
935609,170,66,Male,1978
929294,178,67,Female,1970
931639,178,67,Female,
927828,164,63,Female,1972
927179,169,43,Female,1954
921018,178,64,Male,1990
921026,172,64,Female,1948
921084,175,80,Male,
921165,167,78,Female,1965
921220,178,80,,1949
921262,,93,Male,1987
921296,202,108,Male,1988
921377,169,68,Male,1948
921393,184,67,Male,1985
921416,186,83,,1953
921505,185,83,Male,1968
921547,164,68,,1999
921571,163,92,Female,1978
921589,142,50,Female,1931
921610,170,60,Female,1978
921628,162,78,Female,1941
921636,185,68,Male,1996
921652,172,65,Female,1987
921660,173,76,Male,1941
921733,182,95,Male,1960
921864,169,66,Male,1994
921872,165,69,Female,1983
921903,170,76,Male,1967
921911,175,98,Male,1969
921937,180,64,Male,1994
921945,183,106,Male,1976
921953,172,82,Female,1935
921987,,74,Male,1964
922056,153,58,Female,1973
922072,162,69,Female,1988
922080,184,87,Male,1975
922129,185,70,Male,1998
922200,188,105,Male,1975
922226,173,80,Male,1941
922250,,72,Female,1937
922399,176,73,Male,1959
922412,172,67,Female,1962
922454,170,68,Female,1991
922470,153,62,Female,1936
922501,165,64,Female,1970
922519,178,78,Male,1953
922569,165,58,Female,1980
922577,168,79,Male,1943
922593,163,50,Female,1968
922658,183,91,Male,1985
922690,,47,Female,1993
922713,166,68,Female,1947
922721,182,87,Male,1965
922739,192,88,,1968
922763,187,110,Male,1967
922789,178,102,Male,1949
922852,188,92,Male,1986
922860,159,64,Female,1993
922886,160,74,Female,1932
